name	version	artifact_sha256	copyright_package	copyright_path	copyright_sha256	license_summary	scope_note	license_concluded	review_status
libffi8	3.4.6-1build1	a4d4607144bc599328a913d7312761fd8f4a650d67c7d5058f1f3667d771d37c	libffi8	/usr/share/doc/libffi8/copyright	737ff68f0eb104d3b0d96b291c3a8f40a775a3ec2b53f9b2e4bcfe3188bde118	MIT/Expat (library); additional per-file notices	build/source components include GPL and other terms	NOASSERTION	copyright-reviewed-binary-scope-pending
libgcc-s1	14.2.0-4ubuntu2~24.04.1	5b191f79ad985a9a653dbba45214619f729f9178a9bdf92f7c68db06c50d070b	gcc-14-base	/usr/share/doc/gcc-14-base/copyright	20390f8a6f3b1e4d7cb45dd8652dabb259bbef688cbad839bcdb0b9ba7252f79	GPL-3.0-or-later WITH GCC-exception-3.1	libgcc runtime section in gcc-14-base copyright	NOASSERTION	copyright-reviewed-binary-scope-pending
liblzma5	5.6.1+really5.4.5-1ubuntu0.3	2f58fd7de725efd0dbebe9d4442049fdacd7c2e8242f4288a13a688d50507245	liblzma5	/usr/share/doc/liblzma5/copyright	a2dc8fac0f496e1c58aff67018cf0c6b88336316afa5642f9335b71642e28aa8	Public-domain (liblzma source); additional binary notices	copyright explicitly warns toolchain code can add conditions	NOASSERTION	copyright-reviewed-binary-scope-pending
libmd0	1.1.0-2build1.1	c28583825f7191cdc8b6b71c6150e2cbfc29616d6570680e5284fabc19765ea5	libmd0	/usr/share/doc/libmd0/copyright	4365ef6255ad553fce69dd4bc0e093472c5d0e41b8ea493a545cc926ce171aa6	BSD variants; ISC; Beerware; public-domain notices	per-file terms; not a single SPDX expression	NOASSERTION	copyright-reviewed-binary-scope-pending
libncursesw6	6.4+20240113-1ubuntu2.2	70c7edddf49520a7d0e620ad7d82da8e4b8c2ba7bd8caf156d5666ea19836e94	libtinfo6	/usr/share/doc/libtinfo6/copyright	7c9d2c8dbee48b6f4bbbffb1f370cc5858de11cc4f5a70c5c622c274917e1c65	MIT/X11; BSD-3-Clause; X11	shared ncurses copyright via libtinfo6	NOASSERTION	copyright-reviewed-binary-scope-pending
libpcre2-8-0	10.42-4ubuntu2.1	7581764969752953aa1f991ce143bea594d2c5d0c36c2cc98c3c614c172aba93	libpcre2-8-0	/usr/share/doc/libpcre2-8-0/copyright	030511beb4d9d620ad09914c369c36ec0528dcf301d1923cc643c948ee7c6a38	BSD-3-clause-Cambridge with binary exception; additional notices	preserve copyright-specific exception; not bare BSD-3-Clause	NOASSERTION	copyright-reviewed-binary-scope-pending
libpython3-stdlib	3.12.3-0ubuntu2.1	b6bd0a5e6fa11f2bae6da48707abe6b8245412cbf34e376cb3b9af0968b7122a	libpython3-stdlib	/usr/share/doc/libpython3-stdlib/copyright	5b274dbb44b28a54b795b9471c07ab045054d6b8a86273cb9feb632b6fd2760d	PSF-2.0; historical Python and third-party notices	primary PSF license does not replace full Python copyright	NOASSERTION	copyright-reviewed-binary-scope-pending
libpython3.12-minimal	3.12.3-1ubuntu0.16	5bff0e071c258b82b1f4763d55acf2b4b25cc37d7606eddab33c655e4ab620b4	libpython3.12-minimal	/usr/share/doc/libpython3.12-minimal/copyright	f1cbf908e1daa8789b389fdcf17811ed36b675d736b39a103591399861350382	PSF-2.0; historical Python and third-party notices	primary PSF license does not replace full Python copyright	NOASSERTION	copyright-reviewed-binary-scope-pending
libpython3.12-stdlib	3.12.3-1ubuntu0.16	81979b11f59fcffc56da824c77178bbdb7468c5b942a09383d581532729bd06d	libpython3.12-minimal	/usr/share/doc/libpython3.12-minimal/copyright	f1cbf908e1daa8789b389fdcf17811ed36b675d736b39a103591399861350382	PSF-2.0; historical Python and third-party notices	primary PSF license does not replace full Python copyright	NOASSERTION	copyright-reviewed-binary-scope-pending
libreadline8t64	8.2-4build1	7f46b2f3ca588cd2f05d2cfb6844017309760b4201105cdfda4b339f9e6c69da	libreadline8t64	/usr/share/doc/libreadline8t64/copyright	854c6f5f249a109a913e1e58528445c4fec96f063ae8ba496bfb2b460bcc6866	GPL-3.0-or-later; additional per-file/documentation notices	copyright also lists GPL-2+, GFDL-NIV-1.3+, ISC-no-attribution	NOASSERTION	copyright-reviewed-binary-scope-pending
libselinux1	3.5-2ubuntu2.1	56630c4f009754e76808bf755072e634f8785a4dfbc8b1445213149e682f1502	libselinux1	/usr/share/doc/libselinux1/copyright	864f1bb189f609075d580b8c4aada16d85a44546884f1687989e1cacc8c56751	Public-domain (library); GPL-2.0-only (other files)	NSA public-domain declaration; packaging/utils separately licensed	NOASSERTION	copyright-reviewed-binary-scope-pending
libsqlite3-0	3.45.1-1ubuntu2.7	2633907e89b37ae88fb1b18736b0a7a14feb614382c6297fca91cea4182fbbad	libsqlite3-0	/usr/share/doc/libsqlite3-0/copyright	78e9df8f8153c91c762ec970b82d224ac4d30f05aa7773e7e17e268141e53873	Public-domain (SQLite); GPL-2.0-or-later (packaging)	per-file declarations	NOASSERTION	copyright-reviewed-binary-scope-pending
libssl3t64	3.0.13-0ubuntu3.15	bf0b51fb18187c4e1b03900e1049dc219047080ff511aa3bf691dbe24e14d24a	libssl3t64	/usr/share/doc/libssl3t64/copyright	6a7da622fe0637a334d2a8fc470852d2ffb77d9a2b2f930f854e32a41ad6ef35	Apache-2.0 (OpenSSL); additional per-file notices	copyright also lists Artistic and GPL terms for certain files	NOASSERTION	copyright-reviewed-binary-scope-pending
libtinfo6	6.4+20240113-1ubuntu2.2	00570dce13bd89b31e4f433001fb0a55436e57a76370afbae6c5ac491b3dd3e9	libtinfo6	/usr/share/doc/libtinfo6/copyright	7c9d2c8dbee48b6f4bbbffb1f370cc5858de11cc4f5a70c5c622c274917e1c65	MIT/X11; BSD-3-Clause; X11	ncurses copyright declarations	NOASSERTION	copyright-reviewed-binary-scope-pending
libzstd1	1.5.5+dfsg2-2build1.1	ea7d6e9fde577ea14dbf07fdfb74d6287eb09c6cba4a9d63abdcb87b0ec54bcc	libzstd1	/usr/share/doc/libzstd1/copyright	35e85e8e9bbb71492c5f5dddf39ed65b68775a02ad8d710c25d097b497f06c49	BSD-3-Clause OR GPL-2.0-only; additional per-file notices	preserve OR choice; other source files include MIT and Zlib	NOASSERTION	copyright-reviewed-binary-scope-pending
media-types	10.1.0	31bfb7eec55ab6d34a50ba995150e1498d4cb897714085d8025e330d3b529747	media-types	/usr/share/doc/media-types/copyright	5ded7c53199b6a1d089b0b7e231d77e5c84081c7156b372b3f11ad9c1c2c5cc7	Public-domain information (ad-hoc notice)	copyright labels License: ad-hoc; not an SPDX identifier	NOASSERTION	copyright-reviewed-binary-scope-pending
netbase	6.4	8cdbc9c3dca01e660759bf9d840f72e45ac72faf5d19ca1faecacaf6a60c1a87	netbase	/usr/share/doc/netbase/copyright	795b66147ea5ad692991caa7008ece551fb0fa88b9c53656223bd1518dc58ab2	GPL-2.0-only	copyright declaration	NOASSERTION	copyright-reviewed-binary-scope-pending
openssl	3.0.13-0ubuntu3.15	818b4ab7092eb3365358ce41896ad08206b30cdb67445d7ec0503262893a0d95	libssl3t64	/usr/share/doc/libssl3t64/copyright	6a7da622fe0637a334d2a8fc470852d2ffb77d9a2b2f930f854e32a41ad6ef35	Apache-2.0 (OpenSSL); additional per-file notices	shared copyright via libssl3t64	NOASSERTION	copyright-reviewed-binary-scope-pending
python3-minimal	3.12.3-0ubuntu2.1	883f362e7ea23d3de5483c0b5c31774f75897cc46d34840371b5fe7a0cc3a83c	python3-minimal	/usr/share/doc/python3-minimal/copyright	5b274dbb44b28a54b795b9471c07ab045054d6b8a86273cb9feb632b6fd2760d	PSF-2.0; historical Python and third-party notices	primary PSF license does not replace full Python copyright	NOASSERTION	copyright-reviewed-binary-scope-pending
python3-pip	24.0+dfsg-1ubuntu1.3	4e1af0b6f0b52c847ffa7b192b9f650845b99ff300138af05ab9a6252eb75682	python3-pip	/usr/share/doc/python3-pip/copyright	e8945857357ef1399a575fcd6b92f1957a5e49edcd65779002dde0bce84f3c1a	MIT (pip); Apache-2.0, BSD, ISC, MPL, LGPL, Python (bundled)	source copyright inventory; binary vendoring scope requires review	NOASSERTION	copyright-reviewed-binary-scope-pending
python3-pkg-resources	68.1.2-2ubuntu1.2	13caaa69d5ba8b02e90087d4bcef714c0581e591e820804d15d12f582055147a	python3-pkg-resources	/usr/share/doc/python3-pkg-resources/copyright	b667d4e1f17b94a30d1398150ee53cfbe65e2c71b9fc12509d641612233abe97	MIT; Apache-2.0; BSD-3-Clause (packaging)	setuptools relicensed MIT; historical PSF/ZPL not current primary	NOASSERTION	copyright-reviewed-binary-scope-pending
python3-setuptools	68.1.2-2ubuntu1.2	27ede03d8c5046c30cf1dcdc8835708408d27bdd3561e881b5d66656e6ff23e7	python3-setuptools	/usr/share/doc/python3-setuptools/copyright	b667d4e1f17b94a30d1398150ee53cfbe65e2c71b9fc12509d641612233abe97	MIT; Apache-2.0; BSD-3-Clause (packaging)	setuptools relicensed MIT; historical PSF/ZPL not current primary	NOASSERTION	copyright-reviewed-binary-scope-pending
python3-wheel	0.42.0-2	e1a4076425d3d1f1772b11bff6a025055723b2d0a4972f9519849ddaa8cd3953	python3-wheel	/usr/share/doc/python3-wheel/copyright	9526299f624f2de05ccad5d74e9e1841671206f8dbe2d9a8b6b11c57edf3cea5	MIT; (Apache-2.0 OR BSD-2-Clause); GPL-3.0-only (packaging)	upstream, vendored packaging, Debian packaging respectively	NOASSERTION	copyright-reviewed-binary-scope-pending
python3.12-minimal	3.12.3-1ubuntu0.16	651ffbd5816b03a8e146047db4aa00c83b644f25113784b5a398d1a2314b611b	python3.12-minimal	/usr/share/doc/python3.12-minimal/copyright	f1cbf908e1daa8789b389fdcf17811ed36b675d736b39a103591399861350382	PSF-2.0; historical Python and third-party notices	primary PSF license does not replace full Python copyright	NOASSERTION	copyright-reviewed-binary-scope-pending
python3.12	3.12.3-1ubuntu0.16	610e1be5625661af1eb69f5bfd6d65d832810b52e96a9ff8c5ac719990e98553	python3.12	/usr/share/doc/python3.12/copyright	f1cbf908e1daa8789b389fdcf17811ed36b675d736b39a103591399861350382	PSF-2.0; historical Python and third-party notices	primary PSF license does not replace full Python copyright	NOASSERTION	copyright-reviewed-binary-scope-pending
python3	3.12.3-0ubuntu2.1	ea792b91e0fc9e249b96b960d14e04a8b7107029988546e8dd3511b74a693a6c	python3	/usr/share/doc/python3/copyright	5b274dbb44b28a54b795b9471c07ab045054d6b8a86273cb9feb632b6fd2760d	PSF-2.0; historical Python and third-party notices	primary PSF license does not replace full Python copyright	NOASSERTION	copyright-reviewed-binary-scope-pending
readline-common	8.2-4build1	879bfd7f8a9bc4c0f7cdc777cdd8bc6de5f8c4a2ac80c060322a1b22f13504bb	readline-common	/usr/share/doc/readline-common/copyright	854c6f5f249a109a913e1e58528445c4fec96f063ae8ba496bfb2b460bcc6866	GPL-3.0-or-later; additional per-file/documentation notices	shared readline source copyright	NOASSERTION	copyright-reviewed-binary-scope-pending
tar	1.35+dfsg-3ubuntu0.4	3302932e6125f1be306a9be67cf58a81f94911d92a99c9eeb0aff59c2c457fd7	tar	/usr/share/doc/tar/copyright	a0a44d41b2a045eb5946a8952487151cfa6ff0cd080bbf4b2eec220751d23024	GPL-3.0-or-later; additional GPL/LGPL/Bison-exception notices	source copyright; do not assume all licenses apply to every binary file	NOASSERTION	copyright-reviewed-binary-scope-pending
tzdata	2026c-0ubuntu0.24.04.1	ef12c9ef81905b5ac558504b2f8c20da9be5f28861020b3fb5e8b15fb3fae2f6	tzdata	/usr/share/doc/tzdata/copyright	97fad960bf4aea7cb5faf6dc8a536bf91bf85a69a7869cfa8254a0162134c1d8	Public-domain (database); ICU (additional files)	per-file declarations	NOASSERTION	copyright-reviewed-binary-scope-pending
zlib1g	1:1.3.dfsg-3.1ubuntu2.2	e55ab3b4fb7b6edc4a628e28ec13f8780b08abe427d33ae148f030d8586d0e9a	zlib1g	/usr/share/doc/zlib1g/copyright	9e5b96d63773a5d177ba264254390f792be07e41748ebd94730981c6cac31cc6	Zlib	copyright declaration	NOASSERTION	copyright-reviewed-binary-scope-pending
